name,alternative_names,allowed_owner,allowed_component_levels,allowed_sub_class,allowed_allocated_function_types,allowed_power_interfaces,allowed_data_interfaces,allowed_mechanical_interfaces,allowed_fluid_interfaces,allowed_thermal_interfaces
Spacecraft,NONE,NONE,System,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Payload,Instrument,Spacecraft,Subsystem,NONE;SAR,NONE,NONE,NONE,NONE,NONE,Heat_Pipe
AOCS,ADCS,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Communications,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,NONE,NONE,NONE,Heat_Pipe
Solar_Array,NONE,Power_Subsystem,Unit,NONE,NONE,PCDU;Solar_Array_Actuator,NONE,Solar_Array_Actuator,NONE,NONE
Solar_Array_Actuator,Solar_Array_Drive;Drive_Mechanism;Solar_Array_Drive_Mechanism;Solar_Array_Mechanism,Power_Subsystem,Unit,Triple_Junction,NONE,PCDU;Power_Bus,Data_Bus,NONE,NONE,Heat_Pipe
Battery,Battery_System;Secondary_Batteries,Power_Subsystem,Unit,NONE,NONE,PCDU;Solar_Array,NONE,NONE,NONE,Heat_Pipe
PCDU,Power_Supply;Power_Conditioning_and_Distribution_Unit,Power_Subsystem,Unit,NONE,NONE,Power_Bus,Data_Bus,NONE,NONE,Heat_Pipe
Power_Bus,NONE,Power_Subsystem,Unit,NONE;100V;28V,NONE,NONE,NONE,NONE,NONE,NONE
Harness,NONE,Power_Subsystem,Unit,NONE,NONE,PCDU;Power_Bus,NONE,NONE,NONE,NONE
Switch_Mode_Regulator,NONE,Power_Subsystem,Unit,NONE,NONE,PCDU,NONE,NONE,NONE,NONE
Regulated_Peak_Power_Tracker,NONE,Power_Subsystem,Unit,NONE,NONE,Solar_Array;PCDU,Data_Bus,NONE,NONE,NONE
Reaction_Wheel,NONE,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Magnetorquer,NONE,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
GNSS_Receiver,NONE,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Earth_Sensor,NONE,AOCS,Unit,Coarse;Fine;Coarse,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Sun_Sensor,NONE,AOCS,Unit,Coarse;Fine;Fine;Coarse;Fine;Coasrse;Coarse,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
IMU,Gyroscopes;Accelerometers,AOCS,Unit,Gyroscopes;Accelerometers,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Star_Tracker,NONE,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
IO_remote_data_processing_and_power_distribution_board,AOCS_Electronics;Control_Unit;Actuator_Drive_Electronics,AOCS,Unit,NONE,NONE,Power_Bus;PCDU;IO_remote_data_processing_and_power_distribution_board,Data_Bus;Onboard_Computer;IO_remote_data_processing_and_power_distribution_board,NONE,NONE,Heat_Pipe
Deployable_Boom,NONE,AOCS,Unit,NONE,NONE,Power_Bus,NONE,Magnetometer,NONE,NONE
Control_Moment_Gyros,CMG,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus;PCDU,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Magnetometer,NONE,AOCS,Unit,NONE,NONE,IO_remote_data_processing_and_power_distribution_board;Power_Bus,IO_remote_data_processing_and_power_distribution_board;Data_Bus,NONE,NONE,Heat_Pipe
Thruster,NONE,AOCS;Propulsion_Subsystem,Unit,Main;RCS;Manoeuvre;ACS;ION;ION;Hydrazine;Hydrazine,NONE,Power_Bus,Data_Bus,NONE,Tank;Valve,Heat_Pipe
Tank,NONE,Propulsion_Subsystem,Unit,Hydrazine;Nitrogen;N2O4;Helium;Propellant;Oxidiser;Pressurant;Xenon;Hydrazine;Propellant;Pressurant;Propellant;Pressurant;Fuel;Pressurant;Pressurant;Propellant;Hydrazine;Propellant;Pressurant;Oxidizer;Propellant;Pressurant;Pressurant,NONE,NONE,NONE,NONE,Valve;Tank;Manifold_Control_System,Heat_Pipe
Valve,NONE,Propulsion_Subsystem,Unit,Drain;Latch;Fill;Pressurant_FillDrain;Propellant_Tank_Latch;Propellant_FillDrain;Pressurant_Tank_FillDrain;Fuel_Tank_FillDrain;Latch;Control;Drain;Latch;Pressurant_Isolation;Thruster_Isolation_s;Fill_and_Drain,NONE,Power_Bus;PCDU,Data_Bus,NONE,Filter,Heat_Pipe
Pressure_Regulator,NONE,Propulsion_Subsystem,Unit,NONE,NONE,NONE,NONE,NONE,Valve;Tank,NONE
Filter,Fuel_Filter,Propulsion_Subsystem,Unit,NONE,NONE,NONE,NONE,NONE,Tank;Pressure_Transducer,NONE
Pressure_Transducer,Manifold_Pressure_Sensor,Propulsion_Subsystem,Unit,NONE,NONE,Power_Bus,Data_Bus,NONE,Tank;Valve,NONE
Manifold_Control_System,NONE,Propulsion_Subsystem,Unit,NONE,NONE,Power_Bus;PCDU,Data_Bus,NONE,Valve,Heat_Pipe
