name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
ESA_Sat,Spacecraft,Payload;AOCS;Power_Subsystem;Communications;DHS;Svalbard;Inuvik;Kiruna;COMMS;Decontamination;Deep_Space_Pointing;Earth_Observation;Imaging_Manoeuvre;Lunar_HIS_Observation;Lunar_OBCS_Observation;Orbit_Control;SAT_NOM;Solar_Observation;TRUTHS_Decontamination;TRUTHS_Deep_Space_Pointing_Manouevre;TRUTHS_HIS_Lunar_Imaging_Manouevre;TRUTHS_Lunar_Spectral_Irradiance_HIS_Obsv;TRUTHS_Lunar_Spectral_Irradiance_OBSC_Obsv;TRUTHS_MMFU_Downlink;TRUTHS_Nadir_Earth_Radiance_Obsv_;TRUTHS_Nadir_Imaging_Manoeuvre;TRUTHS_OBCS_Lunar_Imaging_Manoeuvre;TRUTHS_Off__Nadir_Earth_Radiance_Obsv;TRUTHS_Orbit_Cont_In_Plane;TRUTHS_Orbit_Control_Out_Of_Plane;TRUTHS_S2SC_Manouevre;TRUTHS_SMC_Calibration;TRUTHS_Solar_Calibration_Manouevre;TRUTHS_Solar_Imaging_Manouevre;TRUTHS_Solar_SSI_Obsv;TRUTHS_Solar_TSI_Obsv;TRUTHS_TT&C;Initialisation;DHS_Reconfig;Lifetime;Availability;Altitude;Inclination;Eccentricity;AOP;LTDN;Latency,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload,Payload,OBCS;HIS;Payload_Management_Control_System;SSD;FOV;Ocean_Imaging_Rate;Land_Imaging_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,Star_Trackers;Reaction_Wheels;Coarse_Sun_Sensor;Magnetometers;Magnetorquers;GPS_Reciever,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Lion_Battery_Module;Solar_Array;Solar_Array_actuator;PCDU;Primary_Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,S_Band_Transponder;Nadir_Low_Gain_Antenna;Zenith_Low_Gain_Antenna;Coupler;X_Band_Antenna;TWT;EPC;APSK_Modulater;Uplink_Margin;Downlink_Margin;TC_downlink _telemetry_Frame_Error_Rate;TTC_uplink_telecommand_Bit_Error_Rate;PDT_downlink_telemetry Frame Error Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
DHS,OBDH,OBC;RIU;MMFU;Mil_STD_1553B;Payload_LVDS;X_Band_LVDS;Payload_SpaceWire;OBC_SpaceWire;Discrete_Serial_Data_Bus;Flow_Ctrl;data_storage_and_processor_load_margin;payload_data_storage_margin;Number_of_concurrent_file_transmissions;Memory_Margin,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBCS,Payload_Unit,NONE,Primary_Power_Bus,Payload_Management_Control_System,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
HIS,Payload_Unit,NONE,Primary_Power_Bus,Payload_Management_Control_System,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_Management_Control_System,Payload_Electronics,NONE,Primary_Power_Bus,LVDS;SpaceWire,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Star_Trackers,Star_Tracker,NONE,Primary_Power_Bus,Mil_STD_1553B;Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Reaction_Wheels,Reaction_Wheel,NONE,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE
Coarse_Sun_Sensor,Sun_Sensor,NONE,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Magnetometers,Magnetometer,NONE,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Magnetorquers,Magnetorquer,NONE,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE
GPS_Reciever,GNSS_Receiver,NONE,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBC,Onboard_Computer,NONE,Primary_Power_Bus,Mil_STD_1553B;Discrete_Serial_Data_Bus;OBC_SpaceWire,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
RIU,Remote_Interface_Unit,NONE,Primary_Power_Bus,Mil_STD_1553B;Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
MMFU,Solid_State_Recorder,Data_Storage;Max_Onboard_Data,Primary_Power_Bus,OBC_SpaceWire;X_Band_LVDS;Payload_LVDS;Flow_Ctrl,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Mil_STD_1553B,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_LVDS,Data_Bus,observation_data_rate,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
X_Band_LVDS,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_SpaceWire,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBC_SpaceWire,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Discrete_Serial_Data_Bus,Data_Bus,housekeeping_telemetry_data_rate;telecommand_Data_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Flow_Ctrl,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Lion_Battery_Module,Battery,NONE,PCDU,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,GEN-031,NONE,NONE,NONE,NONE
Solar_Array,Solar_Array,NONE,PCDU,NONE,Solar_Array_actuator,NONE,NONE,NONE,1,NONE,GEN-031,NONE,NONE,NONE,NONE
Solar_Array_actuator,Solar_Array_Actuator,NONE,PCDU,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
PCDU,PCDU,NONE,Primary_Power_Bus,Mil_STD_1553B;Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Primary_Power_Bus,Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
S_Band_Transponder,Transponder,TC_Uplink;TM_Low_Rate;TM_High_Rate,Primary_Power_Bus,Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Nadir_Low_Gain_Antenna,Antenna,NONE,NONE,Coupler,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Zenith_Low_Gain_Antenna,Antenna,NONE,NONE,Coupler,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Coupler,RF_Distrubution_Unit,NONE,NONE,S_Band_Transponder,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
X_Band_Antenna,Antenna,NONE,Primary_Power_Bus,TWT,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
TWT,Amplifier,NONE,EPC,APSK_Modulater,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
EPC,Electrical_Power_Conditioner,NONE,Primary_Power_Bus,NONE,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
APSK_Modulater,Transmitter,NONE,Primary_Power_Bus,X_Band_LVDS;Flow_Ctrl;Discrete_Serial_Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Svalbard,Ground_Station,NONE,NONE,X_Band_Antenna,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Inuvik,Ground_Station,NONE,NONE,X_Band_Antenna,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Kiruna,Ground_Station,NONE,NONE,Nadir_Low_Gain_Antenna;Zenith_Low_Gain_Antenna,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
COMMS,Comms,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Decontamination,Science_Operation,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Deep_Space_Pointing,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Earth_Observation,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Imaging_Manoeuvre,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Lunar_HIS_Observation,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Lunar_OBCS_Observation,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Orbit_Control,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
SAT_NOM,Standby,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Observation,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
TRUTHS_Decontamination,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,Decontamination,Payload;OBCS;HIS;Payload_Management_Control_System
TRUTHS_Deep_Space_Pointing_Manouevre,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,Imaging_Manoeuvre,AOCS;Star_Trackers;Reaction_Wheels;Coarse_Sun_Sensor;Magnetometers;Magnetorquers;GPS_Reciever
TRUTHS_HIS_Lunar_Imaging_Manouevre,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,Imaging_Manoeuvre,AOCS;Star_Trackers;Reaction_Wheels;Coarse_Sun_Sensor;Magnetometers;Magnetorquers;GPS_Reciever
TRUTHS_Lunar_Spectral_Irradiance_HIS_Obsv,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Payload_FDomain;Payload_Unit_FDomain;Imaging_FDomain;OBDH_FDomain;Onboard_Computer_FDomain;Solid_State_Recorder_FDomain,OBS-137;DHS-040,NONE,NONE,Lunar_HIS_Observation,Payload;HIS;Payload_Management_Control_System
TRUTHS_Lunar_Spectral_Irradiance_OBSC_Obsv,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Payload_FDomain;Payload_Unit_FDomain;Imaging_FDomain;OBDH_FDomain;Onboard_Computer_FDomain;Solid_State_Recorder_FDomain,OBS-137;DHS-040,NONE,NONE,Lunar_OBCS_Observation,Payload;OBCS;Payload_Management_Control_System
TRUTHS_MMFU_Downlink,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Comms_FDomain;Communications_FDomain;Software_FDomain;File_System_FDomain;Ground_Station_FDomain;Transmitter_FDomain;Antenna_FDomain;Data_Compression_FDomain,DHS-080;DHS-090;DHS-190;DHS-200;DHS-211;DHS-230;COM-010;COM-060;COM-110,NONE,NONE,COMMS,DHS;Communications;S_Band_Transponder;Nadir_Low_Gain_Antenna;Zenith_Low_Gain_Antenna;Coupler;X_Band_Antenna;TWT;EPC;APSK_Modulater;OBC;RIU;MMFU;Mil_STD_1553B;Payload_LVDS;X_Band_LVDS;Payload_SpaceWire;OBC_SpaceWire;Discrete_Serial_Data_Bus;Flow_Ctrl
