name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to,uid,traceable_to,rating
Satellite,Spacecraft,NONE;1_AOCS_FDomain;2_Communications_FDomain;3_PROPULSION_FDomain;4_OBDH_FDomain;5_GNSS_Receiver_FDomain;6_Ground_Station_FDomain;7_Operational_FDomain;8_Orbital_FDomain;9_Payload_FDomain;10_Power_Subsystem_FDomain;11_System_Components_FDomain;AOCS;Communications;Propulsion_Subsystem;OBDH;Ground_Station;Payload;Power_Subsystem;Comms;Decommissioning;Imaging;LEOP;Manoeuvre;Nominal;Safe;Standby,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSatellite,NONE,NONE
1_AOCS_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design1_AOCS_FDomain,Satellite,_3
2_Communications_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design2_Communications_FDomain,Satellite,_3
3_PROPULSION_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design3_PROPULSION_FDomain,Satellite,_3
4_OBDH_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design4_OBDH_FDomain,Satellite,_3
5_GNSS_Receiver_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design5_GNSS_Receiver_FDomain,Satellite,_3
6_Ground_Station_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design6_Ground_Station_FDomain,Satellite,_3
7_Operational_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design7_Operational_FDomain,Satellite,_3
8_Orbital_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design8_Orbital_FDomain,Satellite,_3
9_Payload_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design9_Payload_FDomain,Satellite,_3
10_Power_Subsystem_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design10_Power_Subsystem_FDomain,Satellite,_3
11_System_Components_FDomain,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_design11_System_Components_FDomain,Satellite,_3
AOCS,AOCS,NONE;GNSS_Receiver;Magnetorquer;Reaction_Wheel;Star_Tracker;IMU,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designAOCS,1_AOCS_FDomain,3
Communications,Communications,NONE;Antenna;Antenna_Pointing_Mechanism;EDRS_Terminal;Modem;Reciever;Security_Module;Transciever;Transmitter,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designCommunications,2_Communications_FDomain,3
Propulsion_Subsystem,Propulsion_Subsystem,NONE;Thruster;Valve;Tank;Pressure_Transducer;Filter;Manifold_Control_System;Manifold_Heat_Sensor;Propellant_Tank_Thermal_Control,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPropulsion_Subsystem,3_PROPULSION_FDomain,3
OBDH,OBDH,NONE;Onboard_Computer,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designOBDH,4_OBDH_FDomain,3
Ground_Station,Ground_Station,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designGround_Station,6_Ground_Station_FDomain,2
Payload,Payload,NONE;Payload_Actuator;Payload_Electronics;Payload_Unit,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPayload,9_Payload_FDomain,3
Power_Subsystem,Power_Subsystem,NONE;Battery;PCDU;Power_Bus;Solar_Array;Solar_Array_Actuator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designPower_Subsystem,10_Power_Subsystem_FDomain,3
Comms,Comms,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designComms,2_Communications_FDomain,2
Decommissioning,Decommissioning,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designDecommissioning,6_Ground_Station_FDomain,1
Imaging,Imaging,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designImaging,9_Payload_FDomain,3
LEOP,LEOP,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designLEOP,7_Operational_FDomain,2
Manoeuvre,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designManoeuvre,3_PROPULSION_FDomain,3
Nominal,Nominal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designNominal,1_AOCS_FDomain,3
Safe,Safe,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSafe,10_Power_Subsystem_FDomain,2
Standby,Standby,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designStandby,4_OBDH_FDomain,1
GNSS_Receiver,GNSS_Receiver,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designGNSS_Receiver,5_GNSS_Receiver_FDomain,3
Magnetorquer,Magnetorquer,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designMagnetorquer,1_AOCS_FDomain,3
Reaction_Wheel,Reaction_Wheel,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designReaction_Wheel,3_PROPULSION_FDomain,3
Star_Tracker,Star_Tracker,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designStar_Tracker,9_Payload_FDomain,3
IMU,IMU,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designIMU,11_System_Components_FDomain,3
