name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to,uid,traceable_to,rating,Manual_Rating,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces
Satellite,Spacecraft,NONE;Lifetime_Management;Onboard_Consumables_Management;Operational_Availability;Repeating_Observation_Geometry;Global_Coverage_Imaging;LowLatency_Data_Handling;Onboard_Calibration_Management;Sun_and_Moon_Irradiance_Measurement;Spectral_Radiance_Measurement;Data_Handling_and_Storage;GNSS_Time_Reference;Autonomous_System_Startup;Reconfigurable_Data_Handling;Communication_for_Command_and_Telemetry;Data_Rate_Management;AOCS;AOCS;Communications;Communications;OBDH;OBDH;OBDH;OBDH;Payload;Payload;Payload;Payload;Payload;Payload;Propulsion_Subsystem;Nominal;Imaging;Comms;LEOP;Manoeuvre;Safe,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE,my_designSatellite,NONE,NONE,3,NONE,NONE,NONE,NONE,NONE
Lifetime_Management,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designLifetime_Management,GEN010,AOCS_FDomain,1,NONE,NONE,NONE,NONE,NONE
Onboard_Consumables_Management,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Onboard_Computer_FDomain,NONE,NONE,NONE,NONE,NONE,my_designOnboard_Consumables_Management,GEN030,Power_Subsystem_FDomain,1,NONE,NONE,NONE,NONE,NONE
Operational_Availability,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Operational_FDomain,NONE,NONE,NONE,NONE,NONE,my_designOperational_Availability,GEN050,Operational_FDomain,1,NONE,NONE,NONE,NONE,NONE
Repeating_Observation_Geometry,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designRepeating_Observation_Geometry,GEN120,Payload_FDomain,2,NONE,NONE,NONE,NONE,NONE
Global_Coverage_Imaging,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designGlobal_Coverage_Imaging,GEN127,OBDH_FDomain,2,NONE,NONE,NONE,NONE,NONE
LowLatency_Data_Handling,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designLowLatency_Data_Handling,GEN130,DHS_010,2,NONE,NONE,NONE,NONE,NONE
Onboard_Calibration_Management,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Onboard_Computer_FDomain,NONE,NONE,NONE,NONE,NONE,my_designOnboard_Calibration_Management,OBS020,OBDH_FDomain,3,NONE,NONE,NONE,NONE,NONE
Sun_and_Moon_Irradiance_Measurement,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designSun_and_Moon_Irradiance_Measurement,OBS136,Payload_FDomain,3,NONE,NONE,NONE,NONE,NONE
Spectral_Radiance_Measurement,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain,NONE,NONE,NONE,NONE,NONE,my_designSpectral_Radiance_Measurement,OBS110,Payload_FDomain,2,NONE,NONE,NONE,NONE,NONE
